"PolicyName","VersionId","IsDefaultVersion","CreateDate","ServiceWildcard","ServicesAffected","PrivilegeEscalation","ResourceExposure","DataExfiltration","CredentialsExposure","InfrastructureModification","PrivilegeEscalation_CreateAccessKey","PrivilegeEscalation_CreateLoginProfile","PrivilegeEscalation_UpdateLoginProfile","PrivilegeEscalation_CreateNewPolicyVersion","PrivilegeEscalation_SetExistingDefaultPolicyVersion","PrivilegeEscalation_AttachUserPolicy","PrivilegeEscalation_AttachGroupPolicy","PrivilegeEscalation_AttachRolePolicy","PrivilegeEscalation_PutUserPolicy","PrivilegeEscalation_PutGroupPolicy","PrivilegeEscalation_PutRolePolicy","PrivilegeEscalation_AddUserToGroup","PrivilegeEscalation_UpdateRolePolicyToAssumeIt","PrivilegeEscalation_CreateEC2WithExistingIP","PrivilegeEscalation_PassExistingRoleToNewLambdaThenInvoke","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithNewDynamo","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithExistingDynamo","PrivilegeEscalation_PassExistingRoleToNewGlueDevEndpoint","PrivilegeEscalation_PassExistingRoleToCloudFormation","PrivilegeEscalation_PassExistingRoleToNewDataPipeline","PrivilegeEscalation_UpdateExistingGlueDevEndpoint","PrivilegeEscalation_EditExistingLambdaFunctionWithRole"
"AWSIoTSiteWiseMonitorServiceRolePolicy","v1",False,"2019-11-14T00:59:10+00:00",0,1,"",3,0,0,11,"","","","","","","","","","","","","","","","","","","","","",""
"AWSIoTSiteWiseMonitorServiceRolePolicy","v2",True,"2019-12-13T22:19:25+00:00",0,1,"",3,0,0,11,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonESFullAccess","v1",True,"2015-10-01T19:14:00+00:00",1,1,"",2,0,0,11,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncReadOnlyAccess","v1",False,"2019-01-18T19:18:44+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncReadOnlyAccess","v2",False,"2020-01-24T17:59:11+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDataSyncReadOnlyAccess","v3",True,"2020-06-30T17:59:22+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSServiceRolePolicy","v1",False,"2020-02-21T20:10:47+00:00",0,1,"",1,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSServiceRolePolicy","v2",True,"2020-05-27T19:30:19+00:00",0,1,"",1,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonPersonalizeFullAccess","v1",False,"2018-12-04T22:24:33+00:00",1,2,"",1,0,0,21,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonPersonalizeFullAccess","v2",True,"2019-05-30T23:46:59+00:00",1,2,"",1,0,0,21,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonDRSVPCManagement","v1",True,"2015-09-02T00:09:20+00:00",0,1,"",0,0,0,5,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEventBridgeSchemasFullAccess","v1",True,"2019-11-28T23:12:53+00:00",1,1,"",0,0,0,17,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v6",True,"2020-10-15T22:07:44+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v1",False,"2016-11-30T14:58:06+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v2",False,"2017-12-06T23:28:39+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v5",False,"2020-07-06T20:21:19+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v4",False,"2020-02-20T21:26:20+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonRekognitionReadOnlyAccess","v3",False,"2020-01-08T20:02:40+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AdministratorAccess","v1",True,"2015-02-06T18:39:46+00:00",230,172,"",294,5,24,3193,1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,5,3,2,2,2,1,1
"AWSElasticBeanstalkWorkerTier","v6",True,"2020-09-09T19:53:40+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticBeanstalkWorkerTier","v1",False,"2016-02-08T23:12:02+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticBeanstalkWorkerTier","v2",False,"2016-03-07T23:38:26+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticBeanstalkWorkerTier","v5",False,"2019-03-01T00:07:00+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticBeanstalkWorkerTier","v4",False,"2016-12-21T02:01:55+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticBeanstalkWorkerTier","v3",False,"2016-12-09T18:29:00+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSAppSyncInvokeFullAccess","v1",True,"2018-03-20T21:21:20+00:00",0,1,"",0,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v6",True,"2020-05-19T16:40:28+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v1",False,"2017-09-19T22:19:04+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v2",False,"2018-05-14T21:18:07+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v5",False,"2020-05-05T19:32:02+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v4",False,"2019-10-07T22:55:16+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AWSElasticLoadBalancingServiceRolePolicy","v3",False,"2019-03-18T21:51:14+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEventBridgeSchemasReadOnlyAccess","v1",False,"2019-11-28T23:05:57+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEventBridgeSchemasReadOnlyAccess","v2",True,"2020-05-01T00:50:53+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v6",False,"2019-11-05T22:11:42+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v1",False,"2016-12-01T19:03:41+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v8",False,"2020-01-02T20:06:42+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v9",False,"2020-04-02T16:49:01+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v7",False,"2019-11-25T20:37:05+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v2",False,"2018-10-03T19:36:58+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v5",False,"2019-11-05T20:48:33+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v4",False,"2019-10-08T20:26:25+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v3",False,"2018-11-15T21:38:34+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v11",True,"2020-09-14T16:04:04+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCodeBuildReadOnlyAccess","v10",False,"2020-07-30T18:28:43+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonCloudDirectoryFullAccess","v1",True,"2017-02-25T00:41:39+00:00",1,1,"",0,0,0,32,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonGlacierFullAccess","v1",True,"2015-02-06T18:40:28+00:00",1,1,"",6,0,0,18,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSClusterPolicy","v1",False,"2018-05-27T21:06:14+00:00",0,3,"",0,0,0,25,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSClusterPolicy","v2",False,"2018-10-03T20:56:30+00:00",0,4,"",1,0,0,26,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSClusterPolicy","v4",True,"2020-02-21T20:10:11+00:00",0,4,"",1,0,0,26,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSClusterPolicy","v3",False,"2019-05-22T22:04:46+00:00",0,4,"",1,0,0,26,"","","","","","","","","","","","","","","","","","","","","",""
